tag,text
neu,"I really wanted to see what the hype was all about with Pink's Hot Dogs.  I have to say it can be good depending on what you order.  

The Planet Hollywood Dog really blew me away.  It was just loaded with bacon, cheese, mushrooms, and onions.  It was a complete task just trying to keep it together while eating it.  And somewhere under all that mess was a Polish Dog.  It was really good!  Worth the $8.50?  Well, it's on the Strip so I'm not going to knock it on price.

I also ordered the Pastrami Reuben Dog.  This one didn't really blow me away, but it was also a task to keep this one together. Still good though, but it tasted like something I could've had at Nathan's.   Price was a little cheaper though at $7.50.

So yeah, I spent about $16 on two hot dogs.  Sounds crazy I know, but now at least have a taste of what Pink's has to offer.  Maybe next time I'll give their Pastrami Burrito Dog a shot.  Looks really heavy! 

It was A-Ok!"
pos,"Good ambiance.... my friend said he first started coming here in 2004, when they were just starting out and before the owner bought out the sushi place next door.  He said it's come a long way since then. This place has a great, relaxed atmosphere... there are karaoke rooms for fobby gatherings.  I would come here again if given the chance.  The peach soju = :)"
neu,"I went today for lunch, disappointed.  I got the lonely bird again, it wasn't as good as the first time.  They lack consistency.  My friend got the miso burgo and really liked it.  The apple lychee soda, I'm not really a fan, it was kinda off, like not that refreshing or needed more carbonation.  The service today was horrible.  From the time we walked in to the time we got our food was over 40 mins, we didn't even have to wait for a table.  I'd go back, maybe for a different burger.  I would avoid lunch time, either go before or after the rush.  The service was that slow..."
neu,"The drive from my apartment to this restaurant along Southern Avenue is an interesting 5 mile stretch.  We start near a retirement community, replete with 70-80 year olds who have absolutely no shame in flaunting themselves in speedos on a hot summer day on thereafter desecrated sidewalks.  Continuing on, a veritable gauntlet of strip malls appear offering all types of wares, services, in a strictly lower middle income suburbia.  The next area is a heavily hispanic area with nary an English sign in sight, besides Massage brazenly displayed along shaded glass storefronts.  Finally, our destination appears, and it is truly in an imposing corner, flanked by a Big Lots, great america, and a pawn shop, complete with a watchful security guard along the storefront.  In this truly welcoming environment, we damn near sprinted from the Red Dragon ( also known as my car ) into Salvadoreno.

And this is where the magic begins.

The legend of pupusa has been ringing in my soul for nearly an hour, and I was not about to leave without satisfying that call.  Never having had it before didn't prevent me from ordering 3 varieties, with the steak being my girlfriend's favorite, mine being the pork and beans, and the simple cheese coming in at a comfortable third.  Pressed pockets of incredible goodness inside a expertly pressed tortilla, was served with a mild salsa and curtido- spicy, peppery pickled vegetables.  Combining all of these components, I have abandoned my long-standing vow to hate all those who use bumper stickers and have been inspired to promote the cause, I love (heart symbol) pupusas.  

As this was my first foray into Salvadorian food, I also ordered Lengua Guisada, which came as 3 slabs of stewed beef tongue, covered in a slightly sour tomato based sauce.  The sourness combined with the beef tongue's gamey texture I found very pleasing, but this was slightly below room temperature, and definitely marred my enjoyment of this dish.

Both of our entrees also came with pedestrian rice and watery black beans, with the latter being flavorful but far too liquidy.  I also had a cup of Sopa de Res con Chipilin with my entree, which tasted like countless other Sopa de Res elsewhere.  

Pupusas were absolutely wonderful, but the full experience was marred by my weaker entree and the side dishes.  With that said, I will gladly challenge the land of hispanic / lower income / scary gun-wielding-guard-outside-a-pawn-shop again if only I can have once again the sublime experience of pupusa once more."
neu,"I've been here a couple of times but only because of proximity. This place is always packed but think its more due to the fact that there really isn't any competition in the area.  It's related to the Zipps chain so the menu is similar.  Wings and burgers are decent but the prices are a little high for a sports bar.

Don't really like the setup or the screens as watching a game is a little awkward and can leave you with a neck sprain.  Despite a number of different screens the quality of the screens are surprisingly bad.  They need to send someone up on the roof to adjust the antenna or update the technology.

This place always gets high marks from the local paper but I just don't see it."
neu,"Was very excited to try this place because of all the reviews, but turned out to be disappointing. We should have known from the ten minute wait compared to the 2-4 hour wait at M Buffet. lol.
They did have a good variety of different kinds of foods. I liked the tapas style so that you could easily try a bit of everything. The bone marrow and watermelon gazpacho was interesting to try. Downsides: crab was overly dry, the tuna roll only had a hint of tuna, salads were not very fresh, no alcohol included with meal (compared to M).
Good experience, but would not go again."
neu,"So I finally made it to Volos after hearing so many great things about it (mostly from the Yelp Charity Week in September with one of the events being held here). Moreover, I have just come back from a very special place in Greece (any one heard of Mount Athos were no women are allowed...not even female animals?) and I knew I had to find a place that captured that essence of fresh and warm Greek food.

Intro. Reservations were for 7:30pm and I was originally brought to a table of people that were clearly not my friends. Apologetic faces were aplenty and the manager even came to help straighten things out. I was told that the table was not yet ready and was invited to have a seat by the bar and to enjoy some drinks. I had a glass of the Cuvee Prestige (white) $12/glass and it was recommended by the hostess as a very popular glass with citrus notes. I really enjoyed it. FYI. The hostess also mentioned that I could taste sampler's of different wines before committing which I thought was excellent.
 
Our table was ready and was originally for four, but we actually had 5 guests. I have to say that the restaurant was very accommodating and gave us a round table for 5 which the waitress had originally said was one of the most popular and booked tables/place. Very gracious.

Food. To my utter disappointment, the Mousaka was all sold out. That only attested to the popularity of the dish and I vowed I would return to have it. My second choice was the Cornish Hen which surprisingly was very tender and juicy. It came with a side of mashed potatoes and in no time, I had devoured the whole hen. I am not usually a white meat gal, but even that was so delish. For appetizers, I had the Dolmades (4 pieces) and it came with the most heavenly yoghurt sauce (Taziki) ever: thick, tasty, and cold as Greek Yoghurt should be. 

Other dishes worth mentioning are the Exohico (lamb in Phyllo Pastry) which both my friends raved and ate in a flash and Saganaki as an app (the signature flamed cheese). For dessert, my boyfriend and I shared the very typical dessert Baklava which will satisfy any sweet tooth.

Service. Gracious. And very accommodating. Everyone was so nice and nothing was ever a problem. The owner of the restaurant (I believe Andreas) who looks like a real-life version of Fairy Godmother's son Prince Charming from Shrek...but minus the gold-Pantene-Pro-V-commericial-hairtoss-in-slow-mo-locks periodically would check up on our table. At the end of the evening, he asked how we heard of the restaurant and was very obliging in listing out all the events that could take place in Volos. 

Our waitress handled our request for 5 individual bills with no smirk, eye-roll or sigh so don't be afraid to ask. At the end, she even told our table that she had to do 16 individual bills for a party beside us so clearly not an issue.

Conclusion. I think this restaurant is an absolute gem: food, service, and ambiance (earthy, rustic tones). There is absolutely no pretentious-ness here which makes the shining star, Greek Food, come out."
neu,"I would just like to point out that there are two different China Star restaurants on Murray Ave.  The one across from the Giant Eagle is the good one.  They just opened a few month ago.  This is their second restaurant, so you know they're pretty good.  Their first restaurant's on McKnight Road in McIntyre Square.  I recommend reading a few of the review for their other restaurant if you want get an idea of what they're about. 

The good China Star serves authentic Sichuan style Chinese food.  You can tell they're authentic and good cause when you walk in, many of their customers are Chinese.  For those of you who like the general tso's and lo meins, not to worry cause they have all the ""fake"" Chinese food too.  Some of my favorites are their tan tan noodles, scallion pancake, shrimp in chili sauce, double cooked pork, garlic egg plant and they have hot pot!  So, if you don't know which China Star to go to, pick this one.  It's just a few minutes away and the food is much MUCH better.  I would give this restaurant a 4.5 out of 5 stars just because the serves could have been better (not to say it was bad).

I've actually tried the other China Star too.  No authentic food there, but their ""fake"" Chinese food wasn't bad...it wasn't very good either.  It's kind of funny but I think the non-authentic Chinese food from the other China Star is better.  In short, if I feel like some good old general tso's, I'd rather go somewhere else.  I would give this restaurant a 2 out of 5 stars because the food is edible but nothing special at all."
pos,"Midwood smokehouse is a welcomed new addition to the neighborhood.  They have awesome beer specials every day during the week that go great with whatever 'cue you order.  I had the Texas style brisket yesterday and it was to die for.  No knife necessary, most tender brisket I've ever eaten at a barbecue joint.  The bacon wrapped jalepenos are delicious.  The first time I had them they were very spicy ad second time not as much. (I preferred the spicier version).  Smoked vegetable special was divine--portabellas, squash, onion, and more cooked in their custom made smoker to perfection.  The smoke flavor brought out the meatiness in the fresh veggies without overwhelming them.  Will definitely be visiting Midwood Smokehouse regularly.  Brisket is a must."
neu,"Look, you do not come to Zipps to fine dine. The food is average, but is great when you just want some nachos or wings. This place is for happy hour & for watching sports if you care about sports. The patio is nice too, but I avoid it since people smoke out there. blech

There's always has been room for anywhere from 5-15 of us to get a table. They are great about letting you pull tables together too. Some places are so rude about that.  It's never cramped & the place is clean. There's usually a cool mix of people in & no douchey attitude. 

I must recommend a Zipparita if you've never tried one. I don't usually do a frozen margarita, but I make an exception for this one. Let's just say they put a limit on how many you can buy for a reason.

They do lose a star for not having Tito's vodka. Seriously Zipps, please fix that issue right away. 

I am in here at least once every couple of weeks. If you see me, come say hi & buy me a Zipparita...and nachos and wings. Ok kidding, you only have to buy me a Zipparita. :)"
pos,"You know how you want to be one of the judges on Iron Chef America... Come on admit it!!!  Well, if you're willing to pay $$$ for a one of a kind meal... then this is the place for sure!!!!   You can be a Iron Chef judge for the evening....really!

PROS:  Classy as it gets.  Waiter spot on with knowledge of menu, 
              timing impeccable! Food was fresh, organic, filled your mouth 
              with an orchestra of flavors that complemented one another....

CONS:  If you're not too familiar with true Italian cuisine, you might find 
               yourself wondering what some of the items on the menu are... 
               DON'T WORRY OR FRET... STAFF WILL JUMP FOR THE 
              OPPORTUNITY TO HELP AND GUIDE YOU THROUGH AN 
              AMAZING EXPERIENCE..."
pos,"I had the $99 full auto detailing done. They did a great job, but the most impressive part was the service. Joey noticed that I had nowhere to go, so he drove me to a nearby shopping plaza so I could hang out for a few hours, and then picked me up when my car was ready. Totally impressed, and highly recommended. What a great deal."
neu,"I don't know what OHSO is trying to be. The spiffy name and sleek exterior make you think you are in for an inventive, trendy experience. The interior, though, is a little modern, a touch industrial, with a heavy dose of down-home Midwest, sort of ""modern barn"" as my SO eloquently deemed it. There is a good beer list, but it's not insane. The menu is pretty standard, but the inclusion of a children's menu threw me for a bit of a loop, especially since the median age of the patrons there appeared around 50. 

The place was moderately busy, but service was sort of spotty. I tried a couple of their specialty cocktails: good but not great. We started with the green chile dip, which ended up being what seemed eerily similar to spicy hummus, just served hot. The ""flatbread"" on the side (essentially pita) was accompanied by potato chips. Just.... odd. Not bad, just odd. The grilled cheese was good and the ingredients fresh, but nothing to write home about. The fries were tasty, probably because they reminded us both of McDonald's. The small side of bread and butter pickles was amazing - the best part. We ordered the apple pie a la mode, with cinnamon ice cream. The dessert was amazing, really, although there was a heavy dose of peanut butter which really threw us off. Turns out they were out of cinnamon ice cream, and subbed in the PB version on the fly. Probably would have been nice to know on the front end....

Overall, a solid ""meh"". I love seeing unique places like this pop up in the neighborhood, but I don't know that OHSO has enough panache to survive..."
neg,"Well if you like cookie cutter food this is the place for you!! There is definitely a science into putting out mediocre food that ""everyone"" likes. If you like Kraft dinner and zoodles type of food this is the place for you! This place appeals to the masses. As a real ""foodie"" i really expect more out of my restaurants food. I am looking for more than big screens and hot waitresses. Which there were plenty of. But for now I am rating the FOOD. I ordered the Fries (McDonald's style) blah.. Onion rings... Blah frozen style and the breaded pickles. They were good but still not freshly made. Onto the wings.... Hey wings are wings right... but it's the bottle sauce you can buy at the super market that separates them!! Oh wait did I say that out loud? Ya cookie cutter conglomerate is the key phrase of the day here. Besides paying a dollar each wing for something you could thaw out and reheat yourself hey not a bad deal. Do you detect the sarcasm? Hope those big screens keep you warm and fuzzy as this place drains your wallet. I personally like value added to my food equation. Which I truly believe for what you're paying for you should just be at Hooters and at least you could have some T/A in your face."
neu,"This was my first time stay at the Rio, so here's the breakdown. 

Staff: 5/5
Friendly & polite.

Room: 3.5/5
It was a conjoined room (suite), and I had the room with the king-sized bed all to myself. The room includes a sectional sofa, tube t.v., a Jack & Jill sink, & a typical shower/bathroom. The reason why I gave it a 3.5, is because the pictures from the t.v. fluctuated between black and white, and then to color.  And the floors needed to be vacuumed, or at least underneath the bed.

Bed: 5/5
So COMFORTABLE.  Not too stiff or too soft, just the right amount of firmness to give you support, yet cradles the body.

Extras: 5/5
I love that they give you a mini fridge, that kept my water and left-overs nicely chilled.  There's also an ironing board and iron; good for last minute presses.  Hairdrier (standard), and a single cup coffee maker (coffee is, of course comes with a fee).

Noise level: 4/5
Walls are pretty insulated, however, loud conversations can be heard, though. But overall, outside noise was kept close to none."
neu,Cuts are average to good depending on who you get. Not my location of choice.
pos,"If you're looking for true *gaming enthusiasts*, this is the store to go. It's a retail store, a repair store, and fount of information regarding gaming in general, and with a wide variety of used and classic games, to boot.

The closest store to this feel in Toronto is VideoGamesPlus(VGP). VGP is more retail focused, with a proper online website, but the Gamerama folk strike me far more as gaming enthusiasts first and foremost.

If you want a local retail experience where you can support local Toronto businesses (and not franchises), VGP and gamerama are the places to go. If you want to buy from a group of people who live, breathe, and truly *understand* the world of gaming, and can provide unique insight and advice? Gamerama is it.

You want top notch retail ""service""? go upstairs to EBGames, where they'll ring you through quickly, but treat you like a number, have no interest in dissuading you from an unwise buy, etc.

To me, the choice is clear. Thanks, Gamerama!"
neu,"Cuco's is a decent place to grab a meal. Good, but not great sums it up pretty well. The services is good, the tables are clean, the food is hot and pretty tasty. The margaritas we had were not very good, but I'll go back again and probably give them another try."
neg,"What an utter disappointment. The food was underwhelming, fries were soggy and service was lackluster. All of this for with the additional bonus of everything being overpriced. Don't expect this place to be around for much longer."
neu,"I liked my breakfast and so did my partner but I do find the ""help yourself to lemonaide or ice tea or water"" a bit misleading.  I saw the sign that it was 2.75, but I dont think a lot of people do so they end up paying for drinks they think are free.  I had an egg white omelette with mushrooms, mozzarella and marinara sauce.  The home fries were good and the biscuit was tasty( although small).  My partner had the classic american breakfast and it was advertised as 2 eggs, but seemed like a lot more.  We ordered a muffin that was tasty but once again I had an issue.  The menu said 2.50, but we were charged 2.95.  The mistake was fixed once I pointed it out, but how often has that happened?"
neg,"Okay. This show has A LOT of hype. The show is started off with a five minute montage of things that David has done in the past twenty years, and references made to him in pop culture. Then, he tells you to get out your phones and follow him on Twitter or Facebook. What???? A little uncalled for, I think. I have seen a fair amount of magic shows on the strip, and there wasn't anything revolutionary about Copperfield. I guess if you want to see one show on the strip with a huge budget and a name, go for this, but I think that Penn and Teller are a lot better and a lot funnier. Also, the Copperfield tickets are outrageously priced, even at the half price booths that line the strip. If you're up for this, be prepared."
pos,This place has great food. Very unique menu.  It is going to be a huge success b/c there is nothing like it around there and of course the food is amazing.  The owner/chef has worked at fabulous restaruants here in the valley.  I think part of the staff needs to be trained a little more.  But I have had servers there that were also amazing and very professional.  They have a cute little fire place you can sit near and is great when the weather is cold. I can't wait until they open up for brunch. BRAVO Mr. Rusconi.
pos,sure you're gonna get a salt bomb in your mouth.. but getting a hot dog at pink's is different from your local hot dog shop.. they got plenty of different ways to dress your dog.. and the prices are cheap.. it's even better when you have been drinking.. and i fully recommend this place over earl's inside planet hollywood
pos,"Wanted an authentic Italian restaurant for supper and I was not disappointed.

Had the grilled octopus as an appetizer, cooked very well, not over cooked and te sauce was good. Only one issue, forgot to season the octopus. No salt, no pepper on the octopus.

As a main course I had the seafood pasta, super good. Pasta cooked to perfection, al dente!  Two giant shrimps, good sized mussels, and good sauce.

Would eat here here again for sure."
neg,"Don't use this post office!!!!!   They lose things...repeatedly.  The most recent one was a box of replacement parts I ordered.  This package required signature confirmation so I got a delivery attempt notice at my door.  A couple of days later when I went to claim my package- they couldn't find it!  Sadly this is not the first time.   I have dropped packages (with tracking) off- only for them to never leave the post office and mysteriously disappear.  Unfortunately, this is also that post office that delivers to my house.  Two Amazon packages tracked as delivered to my house were never received.  I had to call the post office and get the run around before being able to speak to my post delivery guy who swears he left them in my mail box... a locked mail box.  

If I were you, I would use a different post office if you wish to mail with confidence."
neu,We tried the different flavors of Cokes from around the world and also had the Float tray. There were a few nasty ones that tasted like mouthwash or medicine lol. The float tray was definitely better. It was a nice touristy experience. :)
neu,"Man, did I want to love this place. It has a cool atmosphere, friendly service, good beer selection, and a menu that had me wanting way more than I could eat. This is just a fun place to be.

As an appetizer, we had Jalapinkies, which were quite delicious and imaginative. Jalapeños stuffed with pimento cheese, dipped in corn dog batter and fried. They were huge, but I managed to eat more than one because they good. The crab hush puppies and fried pickles we ordered were popular too.

So this seems like a fairly glowing review so far, why did I only give it 3 stars? The burger. I'm a burger fanatic and I'm always looking for new and fun burger flavors. I'm not picky, I'm not a snob, but I do have some standards.

I ordered a Triple G burger Ding Dong style. That's a 3 patty burger with crunchy peanut butter, honey-cilantro slaw and hot sriracha sauce. It sounded amazing, but there's a snag, they only cook the burger patties to a particular doneness. OVERdone. 

The dry burger patties overpowered the toppings on the burger that originally made it sound so appealing in the first place. I decided to remove a patty to see if I had less meat, would the other flavors come thru? Nope. Maybe one patty. Not much better.

I did have a bite of the bun and found the combination of runchy peanut butter, honey-cilantro slaw and hot sriracha sauce to be a great idea. It's too bad the overcooked meat was the most dominant flavor. I was disappointed.

If this place fixes how it cooks it's burgers, it would definitely be a must stop whenever I'm in Charlotte."
neu,"So I've been a member of City Athletic Club for a very long time now and thought I'd check out other gyms in the area.  So, I checkout DBG, the staff was super friendly and showed me around the facility. It was really nice, very decorative, lots of art work, statues, different shades of light and brilliant color. It's like someone took the themes from ""A Clockwork Orange"" and ""The Warriors"" and threw them in the J. Paul Getty Museum..haha 

This gym does offer top of the line fitness equipment, lots of amenities and a host of classes such as yoga, spin, Pilates...etc. I can naturally see why DBG would attract a lot of attention and appeal to the public.  Being an athlete myself, I personally would never train at a gym like this.  The last thing I have on my mind when I enter a gym is being comfortable. My mind is far from being able to kick back on plush purple couches and sip on a caramel macchiato....lol 

Now, I'm not saying you can't get a effective workout at this facility. I'm only stating this gym doesn't fit my training style.  If you are into Crossfit, MMA or Olympic lifting, this most certainly isn't the place for you. If you are not a fan of contracts or on a budget, again this isn't the place for you. The biggest deterrent for me was the price. When you join a fancy gym... ""fancy"" being the key word, its not going to be cheap by any means. There is absolutely no reason to pay $150 per month for a gym membership. I'm sorry, but...that's f**king ridiculous!!!!  

Bottom line there is a big difference in the words ""training"" and ""workout"". DBG is for a place for hipster youth to hang out and occasionally lift a weight or two in order for them to feel they are getting fit, a place to ""WORKOUT"".  Myself, when I hit the gym, I'm there to push my mind and body to the limit, making sure I can never say, ""Damn, I should have pushed myself harder"".  In short, I don't ""workout"", I TRAIN!!!"
pos,"I have been going to Rage for some time now and feel like it's about time I give a review.  The staff has always been friendly and willing to go out of their way to help me.  It's refreshing to see a shop that carries such a large number of mountain bike brands rather than the typical one or two big names.  Also one of the few (the only??) shops in the valley that carries a decent selection of DH gear.  One more thing, they actually have a pump track behind the shop that looks pretty killer, I hope to get over there when I have some time to actually ride.  Anyway, I highly recommend this shop!"
neg,"Meh sums it up. There are better middle eastern places out there, but if you're in the neighborhood, this will do. It's decent, just not much to write home about."
neg,"Not sure why people are so excited about this place. I think it is totally overrated. Today food was mediocre, service too and  price too high for what we got. We also had to switch tables because we had the AC blowing at our feet. The view is really nice but there are other places in Madison which have better food, better service and similar or even cheaper prices."
neu,"I don't see the big deal about this place, I really don't.

I frequently go to the Zx Gym multiple times a week, and every time I pass this restaurant the parking lot is crazy full. The last time we visited, it was extremely crowded, messy with peanuts everywhere, and the waitress was rude.

The food hasn't been disappointing though. I love their bread and butter."
neg,"I concur with Ross B.  I visited Yamato in it's last incarnation and was not pleased with the atmosphere, service or staff.  This evening my wife surprised me with a Groupon for the 'new and improved' Yamato.  Trust me it is neither!!  If I go to a Japanese steak house I expect someone of Japanese dissent to be somewhere on the premises.  The first visit, no Asians in sight.  This visit, the Sushi Chef was the only Asian there. The guys working 'the shows' at the Teppanyaki, not even close. The waitress was under age and couldn't serve us our wine or saki, minor delay. There was an issue with the taste of first wine poured.  Had to wait for the Sushi Chef (evidently also the head cashier) to finish dealing with another Groupon before he could pour the new glass; 7-10 minutes later (after most of the food was eaten) the 'chef' was gracious enough to pour the wine, but not bring it to the table, another delay to wait for the waitress to bring it.  Now I will say that the Wasabi dumplings were very tasty as was the Kobe Roll, but it did not make up for the short comings of the rest of our experience.  If I could, I'd give them ZERO stars as a rating.  STAY AWAY!  If they are truely owned by the local Kobe Steak House, save yourself the trip to Yamato and go to Kobe.  I've been there and have had a wonderful experience."
neg,"One employee ruined this place for me. He refused to mark my stained shirts, and of course they all came back still stained. He was then defensive and started arguing with ME... the paying customer! I would rather visit a friendly business where I get service with a smile, and not have to deal with arrogant, rude, argumentative, and lazy people!"
neu,"Okay, I realize that most people LOVE this place so my 3 stars is going to be frowned upon BUT I must admit that I'm not a huge pizza fan and the service was far from good.

We decided to try Grimaldi's late on a Saturday night.  The hostess was quick to seat us in a half empty restaurant.  Our waitress waited 8 minutes before stopping by our table.  She said she would be right back to take our drink order.  Approximately 10 minutes later she returned and said that she was so sorry and stated that they were so busy.  As I look around I notice that more then half the tables are empty and I see numerous waitresses.  Oh well, maybe she was new.  She brings our drinks by quite some time later and apologizes again.  I can't stand when people keep saying sorry with no meaning behind it!  If you're sorry, change what you are doing!!  Eventually we got some food!!

Pizza - you choose your toppings for every pizza which range from $2 a piece to $4 a piece.  You can easily make a $30 pizza.  It's thin crust and it was eh!

I ordered white Sangria which was different!  It kind of tasted like moscato and sprite with a slice of orange. 

The only pizza I really enjoyed was Pizza Fusion and they are gone! :'( I would try other pizza places before I came back here."
pos,"You know, Dr. Schanel is one of the nicest gentlemen I have met.  I'm diggin' his brown loafers, and his eye exam was fun.  And I told him that.  And he laughed at me and gave me the thumbs up.  

I've never in my life worn contacts.  I'm the kind of person who can't even put eye drops in my eyes without making it into a drama, so contacts??  Psshhhh... no way.  So for 4 years I avoided the thought, and for 4 years I was skippin' along with my cute lil purple eye glasses.  Until a while back when a co-worker of mine was punched in the face on a home visit and his eye glasses shattered and conveniently located shrapnel in his eye in a bloody mess.

Everyone on my team who wore (WORE being the key word here) glasses made eye exam appointments that day..  

So there's the background on how I ended up sitting in Dr. Schanel's office on my 10th failed attempt at getting these stupid contacts into my ever blinking eyes.  Dr. Schanel's wife runs the front of the store, and Dr. Schanel takes care of the back.  After a bit of encouragement and yet another failed attempt that left me sighing and feeling like a loser, Dr. Schanel sent in his wife, and she told me exactly how to keep my eye from blinking and get that damn contact in place.  And it worked!  I was so excited to tell Dr. Schanel!  He walked into the room and did a fist pump after seeing the huge grin on my face.  

And now I wear contacts to work everyday."
neg,"Ordered Kung pao chicken, potstickers, crab ragoons, chicken chow mein, salt and peppered shrimp. All the dishes lacked flavor. The last time I went the Kung pao was good but the Mongolian not So much. This Was the worst Chinese food I ever ordered. I have ordered there previously and it was decent that's why decided to order delivery. I will never order from there again.  So disappointed"
neu,".
Good place to ""Chil"" while waiting for my flight back down to the States. I'm used to having Margarita in a Chili's down in California, watching a ball game, talking Spanish to Spanish speakers, but this has got to be the first Margarita with Canadian Curling on the screen. Can you cross-check  with these brooms? I wonder.  The restaurant menu is fairly straight forward bar food, but good. Narrow aisle, just like aircrafts, so you will feel right at home. I'd come back."
pos,"AMAZING!!! This is a top notch destination attraction, just what Toronto needed. 
When you go, plan to spend lots of time there. We were there for almost 7 hours. Don't rush through as you will miss so much. We found that the longer you stay at each tank/display the more you saw. 
We went on Monday and it was not too busy which made it easier to stay for a long time but I understand that on the weekend there is a lineup to get in.
$30 at first seems expensive but once you have walked through the entire aquarium and taken part in all of the interactive activities the price seems very reasonable.  
The staff are all eager to help but need a bit more time to settle into their jobs to feel more comfortable as everyone seemed to be on edge.
The washrooms could have been a bit cleaner, there was water all over the counters and floors the couple of times I went, so more attendance there could have been beneficial.
We want to go back soon and maybe do the sleepover they offer to really enjoy the place when it is not crowded at all.
This is great fun for all ages and everyone should go."
pos,"The food is really good here, but kinda confusing on how to order.  There's really no order to the lines here, you kind of just get in a line and hopefully get what you want.  Other than that, I got the beef cheek, tongue, and carne asada.  Pretty good for a late night snack.  Best part of the experience is watching people coming from the club wasted trying to get their taco fix.  Recommend for a late night cheap eats on the strip."
neg,"Where do I start?? Ive been to several JCS's in the past but this one put such a bad taste in my mouth, I wont be visiting any of them, anytime soon.
First, I wanna say it wasnt busy for a Saturday night but by the way are waitress ""Britanny"" was acting, you would think a tourist bus just pulled up.
The 3 of us ordered cocktails and appetizers first, well the food came first, delivered by another person and cocktail arrived about 15 minutes after the appetizers.
We then ordered 3 entrees thru Britanny and 2 entrees got delivered, I asked the food carrier where's his entree and she looked very confused and said, let me go check. Fifteen minutes later his food arrived, needless to say we were all pretty mad by then. We also asked  for extra garlic bread, well that was silly, we were done with are entrees by the time it came. Through this whole ordeal we only saw Britanny 2 times, she gets a ""F"" in are book.
The manager heard are complaints and understood, discounted are bill and gave us a couple of appetizer coupons, not sure we will be going back."
neg,"Cabs in Phoenix are generally not the most reliable or easiest to get.  Going in you have to know to call well in advance to schedule a pickup if you want to get somewhere at a particular time.  Fine.  I went on their online booking site to request a cab several hours in advance to meet a friend.  The online booking process was easy and great.  I got an email right away confirming my booking with a link should I need to cancel and phone number if I need to call to check on my request.

Several hours later I call the number when the cab is 15 minutes late.  The operator was friendly and found my booking right away and was able to tell me instantly that no one was there because no cab had yet accepted my booking - also cabs today not going to the airport are running about 1 hour behind from the requested times.  I asked why no one called or emailed me (since the booking form asked for both) to let me know the cab was likely going to be an hour late if it came at all and apparently that isn't their policy.  Of course by this time when I tried calling other cab companies to get an ASAP pick up it was a 40 minute wait (since I didn't book in advance) and I missed my apt.  Thanks. . . ."
pos,"My husband and I recently purchased a new home and wanted to get the flooring done before we moved in.  Nulook was highly recommended.  The staff at Nulook was very tentative, and knowledgeable about flooring.  As a first time home buyer, I had a lot of questions, so it was so great to work with Apollo, who provided thorough and timely responses, especially with me being in a different state.
  
We chose engineered wood by Max Windsor in Coppermine for the downstairs and carpet upstairs.  They did an amazing job and completed the project within a week, which was perfectly on time before we moved in with all our furniture.  The new flooring adds a modern feel to our new home now.  We are constantly getting compliments about how amazing the floors are and would highly recommend Nulook to our friends and family.

Giving them a 5 start for the quality of work, friendly and honest staff, and on-time delivery!"
neg,Uhh don't stay here! Not an awful hotel but there are better options on the strip. The price was right and the room was decently clean. The staff has been friendly and responsive to any concerns but the location is not ideal. All the way at the end of the strip so getting anywhere takes forever! Check in was smooth and quick as well as getting our luggage up to the room. Our room was clean but the room temperature was uncomfortable. The air conditioner/heating unit was broken and our room was either freezing or a sauna...also the hotel reeks like marijuana 24/7. Our shower did not drain so showers had to be quick and you were stuck standing in your dirty shower water. The Wifi was also slow and cut out frequently. The room was very basic-no fridge or microwave. Overall the Luxor was okay but if it's not a holiday week there are definitely other comparably priced better hotels on the Strip!
neg,"The food is fine, if you actually get the order you've requested AND it's made to order the way you've requested. I've tried to do this twice and both times, my orders were not correct and the owner threw a fit about doing requests that they clearly say they are OK with honoring. The service is awful, the employees are so rude, and they don't give change. They just expect a tip on top of their delivery charge. I will never deal with them again. They clearly enjoy telling the customer they're wrong and don't care about customer service."
pos,"My friends and I had a great time here on a Friday night. The bartender was really attentive. I didn't notice any underage drinking (as other reviewers had) and the bartender carded everyone who approached the bar while I was there. 

We didn't have any food, but the drinks were fabulous. The mojito was the best I've ever had. And if you are looking for a great shot, ask for the Winter. 

I don't remember a DJ that night, but maybe he/she was on the pool side? 

The ambiance was really nice. Love the rooftop and the whole pool thing.

I would definitely return especially with a swimsuit to take advantage of the water."
pos,"When I first walked into Nordstrom Rack, I wasn't very impressed. However, after I spent more time going through the racks of clothes and shoes, my opinion changed. I ended up finding 2 great pairs of pants, some really cool shoes and boots, and a cute pair of earrings. The prices were good, and I was pleased overall. It is like shopping at Marshalls or TJ Maxx.. you just need to have enough time to sift through all the racks before you come across some really good finds!"
neg,"Mainstream/overrated. Waited 2 1/2 hours just to get into tiesto. . Go to the neighboring clubs forsure. If you are a women trying to wear heels, don't bother because you will take them off in desperation of pain waiting in line.Won't recommend this club If you are trying to party ASAP"
neu,"I was really excited to have a new seafood restaurant in Scottsdale but was very underwhelmed with the food at cuttlefish. I loved the atmosphere.. But every dish I ordered was just okay. We shafted with the king crab Bloody Mary cocktail.. Flavor was great but crab was fishy, we had oysters which were also a little fishy, tuna appetizer was tiny and over priced. Mussels were the only thing we got that was actually delicious. Lobster ravioli was good but not anything too special. I will try one more time as I always give places 2 chances because you never know if they are having an off night."
