"Date","Brand.Name.s.","Product.Description","Recall.Reason.Description","Company.Name"
"03/10/2020","Funky Chunky","Nutty Choco Pop","Undeclared Almond and Cashew Tree-Nut","Funky Chunky, LLC"
"03/10/2020","Eat Smart","Salad Shake Ups several flavors","Potential to be contaminated with Listeria monocytogenes","Apio Inc."
"03/10/2020","Inspired Organics","Organic almond butter, Organic Peanut Butter, Organic Tahini Butter","Potential to be contaminated with Listeria monocytogenes","Inspired Organics, LLC"
"03/10/2020","WEGMANS","Fresh Cauliflower Rice, Veggie Cauliflower Rice Blend and Stir-Fry Mix with Cauliflower","May be contaminated with Escherichia coli O157:H7 bacteria (E. Coli O157:H7)","Wegmans Food Market Inc."
"03/10/2020","Inspired Organics","Organic almond butter","Potential to be contaminated with Listeria monocytogenes","Inspired Organics, LLC"
"03/10/2020","Inspired Organics","Sunflower butter","Potential to be contaminated with Listeria monocytogenes","Inspired Organics, LLC"
"03/10/2020","Eat Smart, Salad Shake Ups","Salads","Potential to be contaminated with Listeria monocytogenes","Apio, Inc."
"03/10/2020","Meijer","Mixed Nuts","Undeclared Brazil nuts","Meijer"
"03/06/2020","HEB","Salad Kit, Tuscan Herb","Undeclared peanut, wheat, soy & tree nuts","Dole Fresh Vegetables, Inc."
"03/05/2020","Vita","Wild Herring In Wine Sauce","Undeclared Milk","Vita Food Products, Inc."
"03/05/2020","Stonewall Kitchen","Ghost Pepper Salsa","Undeclared Milk and Soy","Stonewall Kitchen, LLC"
"03/03/2020","Whole Foods Market","Green Chile Chicken Tamales","Undeclared Milk","Whole Foods Market"
"03/03/2020","ReStructure","Vanilla Protein Powder","Undeclared Milk","New Capstone, Inc."
"02/27/2020","Premier Choice","3 lb. tub Peanut Butter Cookie Dough","Undeclared milk","Choice Products USA, LLC"
"02/24/2020","Sierra Soups","Pasta e Fagioli","Product contains undeclared gluten","Sierra Soups"
"02/21/2020","Moonstruck","Praline Pecan & Ginger Element Bar in Dark Chocolate","Undeclared milk","Moonstruck Chocolate Co."
"02/20/2020","Natural Grocers","Almond clusters dark chocolate Non GMO","Undeclared peanuts and undeclared milk","Vitamin Cottage Natural Food Markets, Inc."
"02/20/2020","Natural Grocers","Peanut clusters dark chocolate Non GMO","Undeclared almonds and undeclared milk","Vitamin Cottage Natural Food Markets, Inc."
"02/19/2020","Kroger","Sweet & Mesquite BBQ Potato Chips","Undeclared milk","Saratoga Potato Chips, LLC"
"02/15/2020","Annie Chun’s","Japanese-Style Teriyaki Noodle Bowls","Undeclared peanuts","CJ Foods, Inc."
"02/13/2020","Coburn Farms","Coburn Farms 4.5oz Sharp Yellow Cheddar Cheese, Cherry Juice-Infused Dried Cranberries & Roasted Sea Salted Cashews Snackers","Undeclared peanut","Save A Lot"
"02/13/2020","Butlers","Irish Whiskey Dark Chocolate Bar","Undeclared milk","Gourmet International and Butlers Chocolates UC"
"02/12/2020","Sunny Select","Au Jus Gravy Mix","Undeclared milk allergen","McCormick and Company, Inc."
"02/12/2020","LOTTE","Chocopie (original, banana, and cacao)","Undeclared almonds","Lotte Int’l America Corp."
"02/10/2020","Pac Bistro","Spinach Dijon Salad","Undeclared egg and wheat","Missa Bay"
"02/10/2020","Blendtopia","Frozen smoothie products","Potential to be contaminated with Listeria monocytogenes","Blendtopia Products, LLC"
"02/08/2020","Corinthian Foods","Uncooked Sweet Potato Crusted Alaska Pollack Nugget","Mislabeling","Corinthian Foods"
"02/07/2020","Nuts ‘N More LLC","Plain Peanut Spread","Potential contamination with Listeria sp,","Nuts ‘N More LLC"
"02/06/2020","New Seasons Market","Grab N’ Go Vegetarian Lasagna w/Gluten Free Pasta","Undeclared Soy","New Seasons Market"
"02/04/2020","Whole Foods Market","Bundt Cake and Chocolate Dipped Cookies","Undeclared milk","Whole Foods Market"
"01/30/2020","Fresh Food Market Chef’s Recipe","Mushroom Barley Soup","Undeclared milk","Bakkavor Foods USA, Inc."
"01/29/2020","Beepa’s","Goulash starter","Undeclared milk","Beepa’s"
"01/29/2020","Nopalina","Nopalina Flax Seed Fiber (powder) and Nopalina Flax Seed Fiber (capsule) products","Potential to be contaminated with Salmonella","Salud Natural Entrepreneur, Inc."
"01/24/2020","Quesos La Ricura","Cheese","May be contaminated with Shiga toxin producing E. coli","Quesos La Ricura"
"01/23/2020","Morrison’s, Savannah Classics, Piccadilly","Cornbread Dressing and Bread Stuffing","Potential to be contaminated with Listeria monocytogenes","Savannah Food Company, Inc."
"01/22/2020","Premo, Fresh Grab","Sandwiches","Due to potential contamination of Listeria monocytogenes","Lipari Foods"
"01/21/2020","Sham Gardens","Tahina","Potential to be contaminated with Salmonella","Five Star Food Inc."
"01/13/2020","Premo,& Fresh Grab","Sandwiches","Potential to be contaminated with Listeria monocytogenes","Lipari Foods, LLC"
"01/08/2020","Fresh Location","Protein snack tray and protein trail mix","Potential to be contaminated with Listeria monocytogenes","Fresh Location"
"01/06/2020","Jeni’s","Cold Brew with Coconut Cream Non-Dairy Frozen Dessert","Undeclared milk","Jeni’s Splendid Ice Creams"
"01/06/2020","purely elizabeth","Chocolate Sea Salt Probiotic Granola","Undeclared walnuts","purely elizabeth"
"01/06/2020","Premo, Fresh Grab","Wedge Sandwiches","Potential to be contaminated with Listeria monocytogenes","Lipari Foods, LLC"
"01/04/2020","Ducktrap River of Maine","Herring Center Cuts in Wine Sauce","Undeclared milk","Ducktrap River of Maine"
"01/03/2020","Wilbur","Dark chocolate covered cashews","Undeclared wheat","Cargill"
"01/02/2020","Limena, LLC","Salvadorean String Cheese (Quesillo Cheese) semi-soft cheese","Potential to be contaminated with Listeria monocytogenes","Limena, LLC"
"12/31/2019","None","Hard-boiled eggs","Product has the potential to be contaminated with Listeria monocytogenes","Meijer"
"12/31/2019","Sienna Bakery","Chocolate Turtle Brownie","May contain undeclared peanuts","Dianne’s Fine Desserts"
"12/31/2019","MiniMeal2Go","Protein pack and avocado toast","Potential to be contaminated with Listeria monocytogenes","FiveStar Gourmet Foods"
"12/28/2019","Cece’s® Veggie Co.","Veggie Ramen with Chicken Broth","Product has the potential to be contaminated with Listeria monocytogenes","Veggie Noodle Co."
"12/27/2019","Sprout Unlimited","Clover Sprouts","May be contaminated with Escherichia coli O103 bacteria","Sprouts Unlimited"
"12/26/2019","Pro2Snax To The Max","Snack kits containing hard boiled eggs","Product has the potential to be contaminated with Listeria monocytogenes","Reichel Foods Inc."
"12/24/2019","Dierbergs Kitchen","Salads and Remoulade","Product has the potential to be contaminated with Listeria monocytogenes","Dierbergs Markets"
"12/24/2019","Great American Deli","Egg salad sandwiches","Product has the potential to be contaminated with Listeria monocytogenes","Great American Deli"
"12/23/2019","Trader Joe’s","Egg salad and potato salad","Product has the potential to be contaminated with Listeria monocytogenes","Bakkavor Foods USA"
"12/23/2019","Almark, 7 Select, Best Choice, more","All hard-boiled eggs manufactured at the firm’s Gainesville, Georgia facility, including all retail, pillow pack, pouch pack, frozen diced, and protein kit products","Potential to be contaminated with Listeria monocytogenes","Almark Foods"
"12/20/2019","365 Everyday Value","Dark Chocolate Peppermint Sandwich Cremes & Dark Chocolate Caramel Sea Salt Sandwich Cremes","Undeclared milk and coconut","Whole Foods Market"
"12/20/2019","Esmea","Sesame tahini","Product has the potential to be contaminated with Salmonella","Esmea Foods"
"12/20/2019","Almark, Nic’s, Rainbow Farms, Sutherland’s, Egggs Select","Hard cooked broken egg whites & hard cooked eggs","Potential to be contaminated with Listeria monocytogenes","Almark Foods"
"12/10/2019","CATSMO LLC","Cold Smoked Salmon (whole fillets and specialty cuts)","Listeria monocytogenes","CATSMO LLC"
"12/08/2019","Tailor Cut Produce","Fruit Luau","Potential to be contaminated with Salmonella","Tailor Cut Produce"
"12/06/2019","White Castle","Frozen Cheeseburger and hamburger sliders","Potential Listeria monocytogenes contamination","White Castle Frozen Food Division"
"12/06/2019","Truly Good Foods","South of the Border nut mix","Undeclared almond and soy","Tropical Nut and Fruit Co."
"12/05/2019","Nancy Adams","Dark Chocolate Graham Crackers","Undeclared Milk","Nassau Candy Distributors"
"12/03/2019","Lin’s Waha Int’l Corp","Suantianyangmei Waxberry and Bingtangyangmei Waxberry","Undeclared sulfites and cyclamates","Lin’s Waha Int’l Corp"
"12/03/2019","President’s Choice, Marketside","Colorful Coleslaw","Potential Salmonella Contamination","Dole Fresh Vegetables, Inc."
"11/27/2019","Hodgson Mill","Unbleached Flour","Potential E. Coli Contamination","Hodgson Mill, Inc."
"11/27/2019","Wild Harvest","Organic All-Purpose Flour","Potential E.coli Contamination","UNFI"
"11/27/2019","Okami & Trader Joes","Ready to eat sushi, salads and spring rolls","Potential Listeria monocytogenes Contamination","Fuji Food Products, Inc."
"11/25/2019","Tuna King","Yellowfin Tuna Medallions","Elevated Histamine Levels","Northern Fisheries LTD"
"11/22/2019","Whole Foods Market","Raspberry Cheesecake Italian Gelato","Undeclared egg","Whole Foods Market"
"11/21/2019","Tainy Vostoka","Dried Fruit Mix","Undeclared sulfites","Euroline Foods LLC"
"11/20/2019","Nabisco","Cheese Nips","Potential presence of plastic","Mondelēz Global LLC"
"11/15/2019","Breakstone’s","Cottage Cheese","Potential presence of plastic and metal","Kraft Heinz Foods Company"
"11/13/2019","Marketside","Marketside Brand Creamy Cauliflower Parmesan Soup","Undeclared fish and wheat","Kettle Cuisine"
"11/13/2019","Natural Grocers","Organic Soybeans","Potential to contain mold","Vitamin Cottage Natural Food Markets, Inc."
"11/11/2019","Fresh Seasons Kitchen","Veggie & Ranch Cups with cauliflower","Due to the potential risk of Listeria monocytogenes","Taher, Inc."
"11/08/2019","Crazy Fresh, quick & easy, no brand name listed","Various fresh vegetables","Listeria monocytogenes","Russ Davis Wholesale"
"11/06/2019","Mill Stream Corp.","Cold Smoked Salmon","Clostridium botulinum","Mill Stream Corp."
"11/06/2019","Whole Foods Market","Multiple Products","Listeria monocytogenes","Whole Foods Market"
"11/05/2019","Wegmans","Vegetable blends served at self-serve cold bar","Listeria monocytogenes","Wegmans"
"11/05/2019","No Brand name Listed on Package","Stir Fry Blends","Listeria moncytogenes","GHNW, LLC"
"11/05/2019","Meijer","Vegetable Trays & Broccoli florets","Listeria monocytogenes","Meijer"
"11/05/2019","Keshav and Swan Brands","Dried dates","Undeclared sulfites","Peekay International Inc."
"11/03/2019","Mann, various private brands","Various vegetable products","Potential contamination with Listeria monocytogenes","Mann Packing Co., Inc."
"11/01/2019","King Arthur Flour","Unbleached All-Purpose Flour","E. coli O26","King Arthur Flour, Inc."
"10/31/2019","Season’s Choice, Raley’s","Frozen raspberries, frozen berry mixes","Potential to be contaminated with Hepatitis A","Wawona Frozen Foods"
"10/31/2019","Nestle","Ready-to-bake refrigerated cookie dough products","Due to the potential presence of food-grade rubber pieces","Nestle USA, Inc."
"10/28/2019","Great Lakes, more","Fresh apples varieties:","Potential to be contaminated with Listeria monocytogenes","North Bay Produce, Inc."
"10/28/2019","Golden Dragon Inc.","Chinese Almond Cookies","May contain undeclared milk","Golden Dragon Fortune Cookies Inc."
"10/23/2019","Parivar","Dry Dates","High Sulfite Content","Dilips Ceramics Inc dba Shivam Distributors"
"10/23/2019","SWAN and KESHAV","DRY APRICOTS","Undeclared Sulfites","Peekay International Inc."
"10/16/2019","Keshav","Dry Apricot","Sulfites","Peekay International Inc."
"10/15/2019","Mical Seafood","Yellowfin Tuna loins, poke, steaks, ground meat and saku","Elevated levels of histamine","Mical Seafood, Inc."
"10/14/2019","Samurai","Furikake Popcorn","Undeclared fish","Samurai, Inc."
"10/10/2019","Arla","Apetina Marinated Feta & Olives in Oil, Pitted","Potential to be contaminated with Clostridium botulinum","UNFI"
"10/10/2019","Schwan’s","Garlic Herb Shrimp","Undeclared milk and soy","Fisherman’s Pride Processors Inc"
"10/10/2019","Carolyn’s Cookie Company, Country Baking Co.","Frozen and refrigerated cookie dough products","Undeclared peanuts and walnuts","California New Foods"
"10/09/2019","Blue Bell","Butter Crunch Ice Cream","Foreign object","Blue Bell Ice Cream"
"10/09/2019","Whole Foods Market","White Parkerhouse Rolls","Undeclared milk and egg","Whole Foods Market"
"10/09/2019","Tuscan Sun","Chicken salad sandwiches","Potential contamination with Listeria monocytogenes","Jumbo Foods Inc."
"10/08/2019","Premo and Fresh Grab","Ham and cheese wedge sandwiches","Potential contamination with Listeria monocytogenes","Lipari Foods"
"10/04/2019","Cornerstone","Frozen Blackberries","Norovirus","Cornerstone Premium Foods"
"10/04/2019","Lunch Box; Fresh and Local","Chicken salad sandwiches","Potential contamination with Listeria monocytogenes","Grand Strand Sandwich Company"
"10/04/2019","Robin Hood Flour","All-Purpose Flour","E. coli O26","The J. M. Smucker Company"
"10/03/2019","King Arthur Flour","Unbleached All-Purpose Flour","E. coli O26","King Arthur Flour, Inc."
"10/03/2019","Ample Hills Creamery","Peppermint Pattie Ice Cream","Undeclared peanut","Ample Hills Manufacturing"
"10/02/2019","Distributed by: Super World Trading Inc.","Dried Date","Sulfites","Super World Trading Inc."
"10/02/2019","CAPITAN K","Salmon slightly salted piece","Listeria monocytogenes","Euphoria Fancy Food Inc."
"10/02/2019","Lipari Old Tyme, Premo, Fresh Grab, Premo Signature","Chicken Salad and Chicken Salad Sandwiches","Potential contamination of Listeria monocytogenes","Lipari Foods"
"10/02/2019","Mical Seafood","Yellowfin Tuna","Elevated levels of histamine","Mical Seafood, Inc."
"10/02/2019","Coborn’s","Chicken containing products including sandwiches, pastas, salads, spread","Potential contamination with Listeria monocytogenes","Coborn's, Inc."
"10/02/2019","Deli Express, Market Sandwich, Market Artisan, more","Sandwiches","Potential contamination with Listeria monocytogenes","E.A. Sween Company"
"10/02/2019","Mrs. Stratton’s, Star, Ballard’s Farm, Laura Lynn, more","Chicken and tuna salad products","Potential contamination with Listeria monocytogenes","Mrs. Stratton’s"
"10/01/2019","SuperMom’s, Hometown Kitchen","Chicken Salad Sandwiches","Potential contamination with Listeria monocytogenes","Northern Tier Bakery LLC"
"10/01/2019","Glam Day","Nougat candy","Undeclared milk and egg","RONG SHING NY Trading Inc."
"09/30/2019","Consider Bardwell Farms","Dorset, Slyboboro and Experience Cheeses","Listeria monocytogenes","Consider Bardwell Farms"
"09/30/2019","Cellect®, Essentials Factor®","Multi Mineral & Vitamin Supplement Unflavored Powder Mix","Unsafe levels of Arsenic and Lead","Cellect Products Inc. and Oglethorpe Ltd."
"09/30/2019","Whole Foods Market","Dorset cheese","Potential contamination of Listeria monocytogenes","Whole Foods Market"
"09/26/2019","RONG SHING NY Trading Inc.","GANCHI NAIWEITANGPIAN candy","Undeclared milk","RONG SHING NY Trading Inc."
"09/25/2019","Trail’s End","Trail’s End Chocolatey Caramel Crunch","Contain almonds, cashews and pecans","Weaver Fundraising, LLC"
"09/24/2019","Captain K","Salmon slightly salted pieces","Due to possible contamination with Listeria monocytogenes","Euphoria Fancy Food Inc"
"09/23/2019","Carolyn’s Cookie Company, Country Baking Co.","Frozen and refrigerated cookie dough products","Undeclared peanuts and walnuts","California New Foods"
"09/20/2019","Roland","Red Lumpfish Caviar and Black Lumpfish Caviar","Potential to be contaminated with Clostridium botulinum","Roland Foods, LLC"
"09/18/2019","Schwartz Brothers Bakery","Lemon Dessert Bars","Undeclared Egg","Schwartz Brothers Bakery"
"09/17/2019","Southeastern Grocers","Peanut Butter Cookies","Undeclared peanuts","Southeastern Grocers"
"09/17/2019","Abbott","Calcilo XD® Infant Formula","Inconsistency in aroma and color","Abbott Laboratories"
"09/16/2019","Gold Medal","Unbleached All Purpose Flour","E. coli O26","General Mills"
"09/13/2019","Urban Remedy","Salads and Wraps","may be contaminated with E. coli","Urban Remedy"
"09/12/2019","Ritter Sport","Ritter Sport -KAFFEESPLITTER","Undeclared milk","Stark Group International"
"09/12/2019","FuPaiYuan","FuPaiYuan Matcha candy","Undeclared eggs and milk","RONG SHING"
"09/12/2019","FuPaiYuan","FuPaiYuan Nougat candy","Undeclared eggs and milk","RONG SHING"
"09/11/2019","MDH","MDH SAMBAR MASALA","Salmonella","House Of Spices India"
"09/11/2019","Hy-Vee","Mealtime Asian Entrees","Undeclared milk","Hy-Vee"
"09/11/2019","Alfa International Seafood, Inc","Refrigerated, wild-caught yellowfin tuna loins","Potentially elevated levels of histamine or scombroid fish poisoning","Alfa International Seafood, Inc."
"09/09/2019","Martha White","Cornbread and Muffin Mix","Possible presence of Gluten","Hometown Food Company"
"09/06/2019","Udi's","Classic Hamburger Buns","Foreign Object White Plastic","Conagra Brands"
"09/04/2019","QQ Fish","Fish Ball Products","Undeclared Egg","Great One Trading Inc."
"08/30/2019","Hiland","Lemonade","Undeclared Milk","Hiland Dairy"
"08/29/2019","Balquis","Spice","Excessive levels of lead","Makzemo LLC"
"08/29/2019","The Milk Lady’s, Peaceful Baby, and Diges-Tea","Tea","Potential to be contaminated with Salmonella","Mountain Mel’s Essential Goods, LLC"
"08/27/2019","Pedia Smart","Soy vanilla beverage mix","Undeclared milk","Nature’s One"
"08/23/2019","QQ Fish","Tofu style fried fish cake, Mushroom Fish ball","Undeclared egg","Great One Trading Inc."
"08/23/2019","Tainy Vostoka","Assorted dry fruits-Quince","Undeclared sulfites","Krasnyi Oktyabr USA Inc"
"08/23/2019","Tainy Vostoka","Assorted dry fruits-apple","Undeclared sulfites","Krasnyi Oktyabr USA Inc"
"08/22/2019","Whole Foods Market","Iced Sugar Cookies","Undeclared Egg","Whole Foods Market Stores"
"08/21/2019","AWERS","Grained Salmon Caviar","Potential Clostridium botulinum contamination","AWERS, Inc."
"08/15/2019","AWERS","Grained Salmon Caviar","Potential Clostridium Botulinum Contamination","AWERS, Inc."
"08/09/2019","Dole","Baby Spinach","Potential Salmonella contamination","Dole Fresh Vegetables, Inc."
"08/02/2019","PreGel","Lemon 50, powdered flavoring","Undeclared Milk","PreGel America, Inc."
"08/01/2019","Door County Whitefish","Smoked Whitefish Pate","Undeclared Egg, Soy, and Anchovies","Ruleau Brothers Inc."
"08/01/2019","Entenmann’s","Soft Baked Chocolate Chip Cookies","Due to the potential presence of visible, blue plastic pieces","Bimbo Bakeries USA, Inc."
"07/26/2019","The Cookie Dough Cafe","Chocolate Chip Cookie Dough Bars","Undeclared peanuts","Juju Bakes LLC dba The Cookie Dough Cafe"
"07/25/2019","Great Value, HEB","Taco Seasoning Products","Due to possible presence of Salmonella contamination","Williams Foods LLC"
"07/24/2019","Tainy Vostoka","Tainy Vostoka Assorted Dry Fruits-Apple","Sulfites","Euphoria Fancy Food Inc"
"07/24/2019","Bucee's, Fresh Thyme and more","Hummus and Dips","Due to possible contamination with Listeria monocytogenes","Pita Pal Foods, LP"
"07/22/2019","Mountain Rose Herbs","Whole Fennel Seed","Potential to be contaminated with Salmonella","Mountain Rose Herbs"
"07/19/2019","Ragu","Pasta sauce","Potential contamination with plastic fragments","Mizkan America, Inc."
"07/19/2019","Archer Farms, Freskët","egg salad, tuna salad, Thai lobster salad, and deviled egg sandwiches","Due to possible contamination with Listeria monocytogenes","Elevation Foods, LLC"
"07/17/2019","Northfork Bison Distributions Inc","Bison Burgers & Bison Ground","Has the potential to be contaminated with E. coli: O121 and O103","Northfork Bison Distributions Inc"
"07/16/2019","Shirakiku","Fish cake products","Undeclared allergens, (Milk, Egg and Crustacean shellfish)","Wismettac Asian Foods, Inc."
"07/16/2019","Bucee’s, Fresh Thyme, Harris Teeter, other","hummus products","Due to potential Listeria monocytogenes","Pita Pal Foods, LP"
"07/15/2019","Due to Potential Contamination of Listeria monocytogenes","Fresh vegetable products","Due to Potential Contamination of Listeria monocytogenes","Growers Express"
"07/11/2019","PICS","Soy Sauce","Undeclared Fish","Baumer Foods, Inc."
"07/11/2019","PROBAR","Multiple flavors of Meal Bars","Undeclared Milk and Soy","PROBAR"
"07/10/2019","Multiple brands","Hamburger and Hot Dog Buns","Potential Presence of Small Pieces of Hard Plastic","Flowers Foods, Inc."
"07/01/2019","Green Giant Fresh, Growers Express, Signature Farms, Trader Joe’s","Butternut squash, cauliflower, zucchini, and butternut squash based veggie bowl products","Listeria monocytogenes","Growers Express"
"06/21/2019","Lactaid, Kraft, and more","Various Perishable items","Products were not held at appropriate temperature during transportation due to mechanical malfunction.","C&S Wholesale Grocers, Inc"
"06/21/2019","Brand Castle and Sisters Gourmet","Cookie and brownie mixes","May be contaminated with pathogenic E. coli","Brand Castle, LLC"
"06/21/2019","Penafiel","Unflavored Mineral Spring Water","Presence of Arsenic","Keurig Dr. Pepper"
"06/21/2019","Parent's Choice","Advantage Infant Formula Milk Based Powder with Iron","Potential presence of metal foreign material","Perrigo Company plc"
"06/21/2019","Penafiel","Unflavored  Mineral Spring Water","Presence of Arsenic","Keurig Dr. Pepper"
"06/20/2019","Great Value and Tipton Grove","Frozen Blackberries and Frozen Mixed Berries","Norovirus","Alma Pak"
"06/19/2019","Woodstock","Organic Grilled Red Peppers","Potential for Listeria monocytogenes","UNFI"
"06/18/2019","Signature Select","Avocado Chunks","Listeria monocytogenes","Nature’s Touch Frozen Foods West Inc."
"06/17/2019","Sprouts Farmers Market","Frozen Cut Leaf Spinach","Listeria monocytogenes","Sprouts Farmers Market"
"06/17/2019","Mai sushi my way","Spicy shrimp tempura crunch roll, Spicy shrimp tempura roll","Undeclared eggs","Mai Cuisine Inc."
"06/14/2019","Parivar","Dry Dates","High Sulfite Content","SHIVAM DISTRIBUTORS"
"06/14/2019","Pillsbury BEST","Flour","E.coli","Hometown Food Company"
"06/14/2019","Lay’s","Potato Chips","Reason/Problem Undeclared Milk","Frito-Lay North America"
"06/14/2019","WinCo Foods","Frozen Red Raspberries","Norovirus","WinCo Foods, LLC"
"06/13/2019","King Arthur Flour","Unbleached All-Purpose Flour","Presence of Escherichia coli bacteria (E. coli).","King Arthur Flour, Inc."
"06/12/2019","Kirkland Signature","Three Berry Blend","Hepatitis A","Townsend Farms, Inc."
"06/11/2019","Kirkland Signature","Three Berry Blend","Hepatitis A","Townsend Farms, Inc."
"06/10/2019","Karawan & SoCo","Tahini","Salmonella","Brodt Zenatti Holding LLC"
"06/07/2019","Private Selection","Frozen Triple Berry Medley","Possible Hepatitis A Contamination","The Kroger Co."
"06/05/2019","Whole Foods Market","Specialty Pestos","Undeclared Milk, Pine Nuts, Walnuts","North Atlantic Whole Foods Market"
"05/30/2019","Deep Foods Inc.","Deep Golden Raisins","Undeclared Sulfites","Deep Foods Inc."
"05/28/2019","Baker’s Corner","All Purpose Flour","Potential presence of E.coli","ADM Milling Co."
"05/24/2019","Karawan","Tahini","Potential for Salmonella","Brodt Zenatti Holding LLC"
"05/23/2019","Bakers Corner","Flour","E. coli","ALDI"
"05/23/2019","Bakers Corner","Flour","E. coli","ADM Milling Co."
"05/22/2019","Laxmi","Dried Apricot","Undeclared sulfites","House Of Spices India"
"05/22/2019","Wegmans","Undeclared milk","Undeclared Milk","Wegmans Food Markets"
"05/22/2019","New Seasons Market","Bacon Shallot Potato Salad","Undeclared egg","New Seasons Market"
"05/22/2019","purely elizabeth","Granola","Potential presence of foreign material","purely elizabeth"
"05/22/2019","Bakers Corner","Flour","E.coli","ALDI"
"05/21/2019","7-Eleven","‘The Italian Job’ sandwiches, Italian Style Sub","Undeclared egg","Hearthside Food Solutions"
"05/20/2019","Specially Selected","Paleo Maple Almond Granola","Potential Presence of Foreign Material","ALDI"
"05/17/2019","Coolhaus","Dairy Free Horchata Frozen Dessert Sandwich","Undeclared Milk","Farchitecture BB, LLC, dba Coolhaus"
"05/17/2019","Global","Rattan Shoot in Brine","Undeclared Sulfites","US TRADING COMPANY"
"05/17/2019","Art Cream","Gluten Free Cookies N Cream Ice Cream","Undeclared Pecans","Art Cream"
"05/15/2019","GHSW, LLC","Salads, wraps and salad bar trays","Undeclared Soy","GHSW, LLC"
"05/14/2019","Biltmore","Wild Smoked Sockeye Salmon","Potential to be contaminated with Listeria monocytogenes","Seven Seas International USA, LLC"
"05/10/2019","Deshi","Golden Raisins","Undeclared sulfites","Deshi Distributors LLC"
"05/09/2019","Mecox Bay Dairy","Mecox Sunrise Cheese","Listeria monocytogenes","Mecox Bay Dairy, LLC"
"05/09/2019","EnviroKidz","Choco Chimps, Gorilla Munch and Jungle Munch cereals","Undeclared Gluten","Nature’s Path Foods"
"05/03/2019","Gia Russa","Bread crumbs","Undeclared walnuts and pecans","ICCO Cheese Company, Inc."
"05/03/2019","Baraka","Curry powder","Due to Lead","UBC Food Distributors, Inc"
"05/02/2019","Lipari Old Tyme, Copperwood","Cheeses","potential contamination of Listeria monocytogenes","Lipari Foods"
"05/02/2019","Biohealth","Precision Blend Time Release Protein Cookies and Cream","Undeclared wheat","Biohealth Nutrition"
"05/02/2019","Caribeña","Papaya Maradol","Salmonella","Grande Produce"
"05/02/2019","Taylor Farms","Coleslaw Kits","Undeclared Milk","Taylor Farms Retail, Inc."
"05/02/2019","Fred Meyer","100% Whole Wheat Bread","Undeclared milk","Fred Meyer Stores"
"04/29/2019","Source Day Natural Treasures","Liquorice Slice","Undeclared Sulfites","New Nan Fong"
"04/29/2019","ChloroFields","Micro-Greens Asian Mix","Potential Contamination by Salmonella","ChloroFields"
"04/29/2019","Bee International","Plastic Heart Tubes with Chocolate Lentils","Undeclared Milk","Bee International, Inc."
"04/18/2019","Caito Foods, Renaissance Food Group, Open Acres, Garden Highway and others","Fresh cut watermelon, honeydew, cantaloupe and mixed fruit melons","Potential to be contaminated with salmonella","Caito Foods"
"04/17/2019","Chips Ahoy!","Chips Ahoy Chewy Cookie","Due to Unexpected Solidified Ingredient","Mondelēz Global LLC"
"04/17/2019","Weis Quality","Banana Puddin’ Ice Cream","Undeclared Egg","Weis Markets"
"04/16/2019","Ben & Jerry’s","Coconut Seven Layer Bar bulk and Ben & Jerry’s Chunky Monkey ice cream","Undeclared Tree Nut","Unilever"
"04/16/2019","Hercules Candy","Cashew Brittle Bits","Undeclared Peanuts","Hercules Candy LLC"
"04/16/2019","Jensen Tuna Inc.","Frozen Ground Tuna","Due to Potential Presence of Salmonella","Jensen Tuna Inc."
"04/10/2019","Corner Store Market","Ready to Eat Sandwiches, Wraps, and Salads","Potential to be contaminated with Listeria monocytogenes","Great American Marketing Company"
"04/08/2019","Brian Richardson dba In Tha Pink","Ground Kopi Jantan Tradisional Natural Herbs Coffee","Undeclared Sildenafil and Tadalafil","Brian Richardson dba In Tha Pink"
"04/04/2019","Thomas Hammer","Blueberry Bread","Undeclared egg","Thomas Hammer Coffee Roasters Inc."
"04/03/2019","Hunt’s","Canned Tomato Paste No Salt Added","Potential for mold","Conagra Brands, Inc."
"04/02/2019","Wholesome Pantry","Organic Nut Butters","Potential to be contaminated with Listeria monocytogenes","Wakefern Food Corp."
"04/01/2019","NadaMoo!","Strawberry Cheesecake Non-Dairy Frozen","Undeclared Almond","Little Red Rooster Ice Cream Company, d/b/a NadaMoo!"
"03/28/2019","Theo","Sea Salt 70% Dark Chocolate bars","Undeclared milk","Theo Chocolate"
"03/25/2019","Henry Avocado Corporation","California-grown conventional and organic avocados","Potential to be contaminated with Listeria monocytogenes","Henry Avocado Corporation"
"03/21/2019","Snak Club","‎Snak Club Honey Bliss Nut Mix","Undeclared Milk","‎Century Snacks LLC"
"03/21/2019","Better Made","Original Potato Chips","Undeclared Milk","Better Made Snack Foods"
"03/15/2019","Surtidoras","Muffins","Undeclared milk","Surtidoras Bakery, Inc."
"03/13/2019","Pillsbury","Flour","Salmonella","Hometown Food"
"03/08/2019","Fullei Fresh","Organic Bean Sprouts","Potential to be contaminated with Listeria monocytogenes","Fullei Fresh"
"03/04/2019","Bachman","Twist Pretzels","Undeclared Milk","UTZ Quality Foods, Inc."
"03/04/2019","Marketside","Green Beans and Butternut Squash","Potential to be contaminated with Listeria monocytogenes","Southern Specialties Inc"
"03/01/2019","Sunstone Organics","White Vein Kratom and Maeng Da Kratom","Potential Contamination by Salmonella","Sunstone Organics"
